assetId,assetTypeCode
1200001,SVR
1200002,SVR
1200003,SVR
1200004,SVR
1200005,SVR
1200006,SVR
1200007,SVR
1200008,SVR
1200009,SVR
1200010,SVR
1200011,SVR
1200012,SVR
1200013,SVR
1200014,SVR
1200015,SVR
1200016,SVR
1200017,SVR
1200018,SVR
1200019,SVR
1200020,SVR
1200021,SVR
1200022,SVR
1200023,SVR
1200024,SVR
1200025,SVR
1200026,SVR
1200027,SVR
1200028,SVR
1200029,SVR
1200030,SVR
1200031,SVR
1200032,SVR
1200033,SVR
1200034,SVR
1200035,SVR
1200036,SVR
1200037,SVR
1200038,SVR
1200039,SVR
1200040,SVR
1200041,SVR
1200042,SVR
1200043,SVR
1200044,SVR
1200045,SVR
1200046,SVR
1200047,SVR
1200048,SVR
1200049,SVR
1200050,SVR
1200051,SVR
1200052,SVR
1200053,SVR
1200054,SVR
1200055,SVR
1200056,SVR
1200057,SVR
1200058,SVR
1200059,SVR
1200060,SVR
1200061,SVR
1200062,SVR
1200063,SVR
1200064,SVR
1200065,SVR
1200066,SVR
1200067,SVR
1200068,SVR
1200069,SVR
1200070,SVR
1200071,SVR
1200072,SVR
1200073,SVR
1200074,SVR
1200075,SVR
1200076,SVR
1200077,SVR
1200078,SVR
1200079,SVR
1200080,SVR
1200081,SVR
1200082,SVR
1200083,SVR
1200084,SVR
1200085,SVR
1200086,SVR
1200087,SVR
1200088,SVR
1200089,SVR
1200090,SVR
1200091,SVR
1200092,SVR
1200093,SVR
1200094,SVR
1200095,SVR
1200096,SVR
1200097,SVR
1200098,SVR
1200099,SVR
1200100,SVR
1200101,SVR
1200102,SVR
1200103,SVR
1200104,SVR
1200105,SVR
1200106,SVR
1200107,SVR
1200108,SVR
1200109,SVR
1200110,SVR
1200111,SVR
1200112,SVR
1200113,SVR
1200114,SVR
1200115,SVR
1200116,SVR
1200117,SVR
1200118,SVR
1200119,SVR
1200120,SVR
1200121,SVR
1200122,SVR
1200123,SVR
1200124,SVR
1200125,SVR
1200126,SVR
1200127,SVR
1200128,SVR
1200129,SVR
1200130,SVR
1200131,SVR
1200132,SVR
1200133,SVR
1200134,SVR
1200135,SVR
1200136,SVR
1200137,SVR
1200138,SVR
1200139,SVR
1200140,SVR
1200141,SVR
1200142,SVR
1200143,SVR
1200144,SVR
1200145,SVR
1200146,SVR
1200147,SVR
1200148,SVR
1200149,SVR
1200150,SVR
1200151,SVR
1200152,SVR
1200153,SVR
1200154,SVR
1200155,SVR
1200156,SVR
1200157,SVR
1200158,SVR
1200159,SVR
1200160,SVR
1200161,SVR
1200162,SVR
1200163,SVR
1200164,SVR
1200165,SVR
1200166,SVR
1200167,SVR
1200168,SVR
1200169,SVR
1200170,SVR
1200171,SVR
1200172,SVR
1200173,SVR
1200174,SVR
1200175,SVR
1200176,SVR
1200177,SVR
1200178,SVR
1200179,SVR
1200180,SVR
1200181,SVR
1200182,SVR
1200183,SVR
1200184,SVR
1200185,SVR
1200186,SVR
1200187,SVR
1200188,SVR
1200189,SVR
1200190,SVR
1200191,SVR
1200192,SVR
1200193,SVR
1200194,SVR
1200195,SVR
1200196,SVR
1200197,SVR
1200198,SVR
1200199,SVR
1200200,SVR
1200201,SVR
1200202,SVR
1200203,SVR
1200204,SVR
1200205,SVR
1200206,SVR
1200207,SVR
1200208,SVR
1200209,SVR
1200210,SVR
1200211,SVR
1200212,SVR
1200213,SVR
1200214,SVR
1200215,SVR
1200216,SVR
1200217,SVR
1200218,SVR
1200219,SVR
1200220,SVR
1200221,SVR
1200222,SVR
1200223,SVR
1200224,SVR
1200225,SVR
1200226,SVR
1200227,SVR
1200228,SVR
1200229,SVR
1200230,SVR
1200231,SVR
1200232,SVR
1200233,SVR
1200234,SVR
1200235,SVR
1200236,SVR
1200237,SVR
1200238,SVR
1200239,SVR
1200240,SVR
1200241,SVR
1200242,SVR
1200243,SVR
1200244,SVR
1200245,SVR
1200246,SVR
1200247,SVR
1200248,SVR
1200249,SVR
1200250,SVR
1200251,SVR
1200252,SVR
1200253,SVR
1200254,SVR
1200255,SVR
1200256,SVR
1200257,SVR
1200258,SVR
1200259,SVR
1200260,SVR
1200261,SVR
1200262,SVR
1200263,SVR
1200264,SVR
1200265,SVR
1200266,SVR
1200267,SVR
1200268,SVR
1200269,SVR
1200270,SVR
1200271,SVR
1200272,SVR
1200273,SVR
1200274,SVR
1200275,SVR
1200276,SVR
1200277,SVR
1200278,SVR
1200279,SVR
1200280,SVR
1200281,SVR
1200282,SVR
1200283,SVR
1200284,SVR
1200285,SVR
1200286,SVR
1200287,SVR
1200288,SVR
1200289,SVR
1200290,SVR
1200291,SVR
1200292,SVR
1200293,SVR
1200294,SVR
1200295,SVR
1200296,SVR
1200297,SVR
1200298,SVR
1200299,SVR
1200300,SVR
1200301,SVR
1200302,SVR
1200303,SVR
1200304,SVR
1200305,SVR
1200306,SVR
1200307,SVR
1200308,SVR
1200309,SVR
1200310,SVR
1200311,SVR
1200312,SVR
1200313,SVR
1200314,SVR
1200315,SVR
1200316,SVR
1200317,SVR
1200318,SVR
1200319,SVR
1200320,SVR
1200321,SVR
1200322,SVR
1200323,SVR
1200324,SVR
1200325,SVR
1200326,SVR
1200327,SVR
1200328,SVR
1200329,SVR
1200330,SVR
1200331,SVR
1200332,SVR
1200333,SVR
1200334,SVR
1200335,SVR
1200336,SVR
1200337,SVR
1200338,SVR
1200339,SVR
1200340,SVR
1200341,SVR
1200342,SVR
1200343,SVR
1200344,SVR
1200345,SVR
1200346,SVR
1200347,SVR
1200348,SVR
1200349,SVR
1200350,SVR
1200351,SVR
1200352,SVR
1200353,SVR
1200354,SVR
1200355,SVR
1200356,SVR
1200357,SVR
1200358,SVR
1200359,SVR
1200360,SVR
1200361,SVR
1200362,SVR
1200363,SVR
1200364,SVR
1200365,SVR
1200366,SVR
1200367,SVR
1200368,SVR
1200369,SVR
1200370,SVR
1200371,SVR
1200372,SVR
1200373,SVR
1200374,SVR
1200375,SVR
1200376,SVR
1200377,SVR
1200378,SVR
1200379,SVR
1200380,SVR
1200381,SVR
1200382,SVR
1200383,SVR
1200384,SVR
1200385,SVR
1200386,SVR
1200387,SVR
1200388,SVR
1200389,SVR
1200390,SVR
1200391,SVR
1200392,SVR
1200393,SVR
1200394,SVR
1200395,SVR
1200396,SVR
1200397,SVR
1200398,SVR
1200399,SVR
1200400,SVR
1200401,SVR
1200402,SVR
1200403,SVR
1200404,SVR
1200405,SVR
1200406,SVR
1200407,SVR
1200408,SVR
1200409,SVR
1200410,SVR
1200411,SVR
1200412,SVR
1200413,SVR
1200414,SVR
1200415,SVR
1200416,SVR
1200417,SVR
1200418,SVR
1200419,SVR
1200420,SVR
1200421,SVR
1200422,SVR
1200423,SVR
1200424,SVR
1200425,SVR
1200426,SVR
1200427,SVR
1200428,SVR
1200429,SVR
1200430,SVR
